id_plano,forma,ancho_m,profundidad_m,habitaciones,tipo_paso,tipo_bano,ubicacion_cocina,ubicacion_bloque_dorm,ubicacion_deposito,fogón,huerto,establo,corral,chiquero
plano_L_13x19m_2dorm_pasillo_biodigestor_medio-izquierda_bloque-fondo-derecha_frente-izquierda_ninguno,L,13.0,19.0,2,pasillo,biodigestor,medio-izquierda,bloque-fondo-derecha,frente-izquierda,False,False,False,False,False
plano_L_13x19m_2dorm_pasillo_letrina_medio-izquierda_bloque-fondo-derecha_frente-izquierda_ninguno,L,13.0,19.0,2,pasillo,letrina,medio-izquierda,bloque-fondo-derecha,frente-izquierda,False,False,False,False,False
plano_L_17x18m_2dorm_esclusa_letrina_frente-derecha_bloque-medio-izquierda_frente-izquierda_ninguno,L,17.0,18.0,2,esclusa,letrina,frente-derecha,bloque-medio-izquierda,frente-izquierda,False,False,False,False,False
plano_L_17x18m_2dorm_pasillo_letrina_frente-derecha_bloque-medio-izquierda_frente-izquierda_ninguno,L,17.0,18.0,2,pasillo,letrina,frente-derecha,bloque-medio-izquierda,frente-izquierda,False,False,False,False,False
plano_L_19x13m_2dorm_esclusa_biodigestor_frente-medio_bloque-fondo-izquierda_frente-izquierda_ninguno,L,19.0,13.0,2,esclusa,biodigestor,frente-medio,bloque-fondo-izquierda,frente-izquierda,False,False,False,False,False
plano_L_19x14.5m_2dorm_pasillo_biodigestor_frente-medio_bloque-fondo-izquierda_frente-izquierda_ninguno,L,19.0,14.5,2,pasillo,biodigestor,frente-medio,bloque-fondo-izquierda,frente-izquierda,False,False,False,False,False
plano_L_19x14m_2dorm_esclusa_letrina_medio-izquierda_bloque-frente-derecha_frente-izquierda_ninguno,L,19.0,14.0,2,esclusa,letrina,medio-izquierda,bloque-frente-derecha,frente-izquierda,False,False,False,False,False
plano_L_19x16m_2dorm_esclusa_biodigestor_medio-izquierda_bloque-frente-derecha_frente-izquierda_fogón-huerto-establo-corral-chiquero,L,19.0,16.0,2,esclusa,biodigestor,medio-izquierda,bloque-frente-derecha,frente-izquierda,True,True,True,True,True
plano_U_13x15m_2dorm_pasillo_biodigestor_medio-izquierda_bloque-fondo-derecha_frente-izquierda_ninguno,U,13.0,15.0,2,pasillo,biodigestor,medio-izquierda,bloque-fondo-derecha,frente-izquierda,False,False,False,False,False
plano_U_13x15m_2dorm_pasillo_letrina_frente-medio_bloque-fondo-derecha_medio-izquierda_ninguno,U,13.0,15.0,2,pasillo,letrina,frente-medio,bloque-fondo-derecha,medio-izquierda,False,False,False,False,False
plano_U_13x15m_2dorm_pasillo_letrina_medio-izquierda_bloque-fondo-derecha_frente-izquierda_ninguno,U,13.0,15.0,2,pasillo,letrina,medio-izquierda,bloque-fondo-derecha,frente-izquierda,False,False,False,False,False
plano_U_13x19m_2dorm_pasillo_biodigestor_medio-izquierda_bloque-fondo-derecha_frente-izquierda_fogón-establo-corral,U,13.0,19.0,2,pasillo,biodigestor,medio-izquierda,bloque-fondo-derecha,frente-izquierda,True,False,True,True,False
plano_U_13x19m_2dorm_pasillo_letrina_medio-izquierda_bloque-fondo-derecha_frente-izquierda_fogón-establo-corral,U,13.0,19.0,2,pasillo,letrina,medio-izquierda,bloque-fondo-derecha,frente-izquierda,True,False,True,True,False
plano_U_15x15m_2dorm_pasillo_biodigestor_frente-medio_bloque-fondo-derecha_medio-izquierda_ninguno,U,15.0,15.0,2,pasillo,biodigestor,frente-medio,bloque-fondo-derecha,medio-izquierda,False,False,False,False,False
plano_U_19x13m_2dorm_esclusa_biodigestor_medio-izquierda_bloque-frente-derecha_frente-izquierda_ninguno,U,19.0,13.0,2,esclusa,biodigestor,medio-izquierda,bloque-frente-derecha,frente-izquierda,False,False,False,False,False
plano_U_19x16m_2dorm_esclusa_letrina_medio-izquierda_bloque-frente-derecha_frente-izquierda_fogón-huerto-establo-corral-chiquero,U,19.0,16.0,2,esclusa,letrina,medio-izquierda,bloque-frente-derecha,frente-izquierda,True,True,True,True,True
plano_U_21x18m_2dorm_esclusa_biodigestor_frente-medio_bloque-fondo-izquierda_frente-izquierda_fogón-huerto-establo-corral-chiquero,U,21.0,18.0,2,esclusa,biodigestor,frente-medio,bloque-fondo-izquierda,frente-izquierda,True,True,True,True,True
plano_U_21x18m_2dorm_esclusa_letrina_frente-derecha_bloque-medio-izquierda_frente-izquierda_fogón-huerto-establo-corral-chiquero,U,21.0,18.0,2,esclusa,letrina,frente-derecha,bloque-medio-izquierda,frente-izquierda,True,True,True,True,True
plano_U_21x19m_2dorm_pasillo_biodigestor_frente-medio_bloque-medio-izquierda_frente-izquierda_fogón-huerto-establo-corral-chiquero,U,21.0,19.0,2,pasillo,biodigestor,frente-medio,bloque-medio-izquierda,frente-izquierda,True,True,True,True,True
plano_U_21x19m_2dorm_pasillo_letrina_frente-medio_bloque-medio-izquierda_frente-izquierda_fogón-huerto-establo-corral-chiquero ,U,21.0,19.0,2,pasillo,letrina,frente-medio,bloque-medio-izquierda,frente-izquierda,True,True,True,True,False
